ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,collect_fw,piped_water,math_ok,study_min_wk
11.280249120621802,1,2,1,1,0,1,1,1,2160
11.677006673474395,1,1,1,1,0,1,1,0,3480
11.656670767569276,1,3,1,1,1,0,1,0,2700
10.648895059757159,1,2,1,1,0,0,1,0,3000
10.612532688248846,1,1,1,1,0,1,1,0,2160
11.184435286790631,2,2,0,1,1,1,1,0,2880
9.770013301136158,2,2,1,1,0,0,1,1,2520
11.46374572492597,1,5,1,4,0,0,1,0,2520
10.461702359555922,1,3,0,1,0,0,1,0,1500
11.820417517632333,1,2,1,3,0,1,1,0,2280
11.820417517632333,1,2,1,3,0,1,1,0,2280
10.49449125942737,2,2,0,1,0,1,1,1,2220
10.720311477789672,1,3,0,1,0,0,1,1,2880
10.720311477789672,1,3,0,1,0,0,1,1,2880
